transaction_id,customer_id,date,stored_coins,expected_coins,delta
269,203,2026-01-01,59,59,0
270,204,2026-01-02,540,540,0
271,205,2026-01-05,24,24,0
272,206,2026-01-05,600,600,0
273,207,2026-01-05,24,24,0
274,208,2026-01-06,360,360,0
275,209,2026-01-06,20,20,0
276,210,2026-01-06,64,64,0
277,211,2026-01-07,37,37,0
278,212,2026-01-07,623,623,0
279,213,2026-01-07,799,799,0
280,214,2026-01-08,44,44,0
281,215,2026-01-09,161,161,0
282,216,2026-01-09,36,36,0
283,217,2026-01-10,351,351,0
284,218,2026-01-10,323,323,0
285,219,2026-01-11,600,600,0
286,220,2026-01-12,23,23,0
287,221,2026-01-13,213,213,0
288,222,2026-01-13,639,639,0
289,223,2026-01-16,36,36,0
290,224,2026-01-17,600,600,0
291,225,2026-01-17,600,600,0
292,226,2026-01-17,49,49,0
293,227,2026-01-18,31,31,0
294,228,2026-01-18,25,25,0
295,224,2026-01-18,2400,2400,0
296,229,2026-01-11,20,20,0
297,206,2026-01-15,2240,2240,0
298,230,2026-01-21,200,200,0
299,231,2026-01-21,623,623,0
300,232,2026-01-22,32,32,0
301,233,2026-01-23,43,43,0
302,234,2026-01-25,50,50,0
303,235,2026-01-27,70,70,0
304,236,2026-01-27,33,33,0
305,237,2026-01-28,28,28,0
306,238,2026-01-30,36,36,0
307,239,2026-01-30,36,36,0
308,217,2026-01-30,149,149,0
309,240,2026-01-09,20,20,0
310,241,2026-01-03,20,20,0
311,242,2026-01-07,200,200,0
312,243,2026-01-11,84,84,0
313,244,2026-01-06,28,28,0
314,245,2026-01-17,20,20,0
315,246,2026-01-20,26,26,0
316,247,2026-02-01,210,210,0
317,237,2026-02-01,600,600,0
318,212,2026-02-02,200,200,0
319,248,2026-02-03,100,100,0
320,221,2026-02-04,600,600,0
321,223,2026-02-05,600,600,0
322,219,2026-02-06,559,559,0
323,249,2026-02-06,37,37,0
324,250,2026-02-07,47,47,0
325,251,2026-02-07,600,600,0
326,252,2026-02-07,28,28,0
327,253,2026-02-08,37,37,0
329,255,2026-02-09,22,22,0
330,256,2026-02-10,242,242,0
331,257,2026-02-10,228,228,0
332,258,2026-02-10,30,30,0
333,232,2026-02-12,37,37,0
334,259,2026-02-12,623,623,0
